chunk_id,has_duplication,chunk_size,resolution_size
819181,False,14,5
819183,False,21,12
819186,False,25,6
819190,False,22,11
819195,False,14,5
819196,False,14,5
819199,False,41,14
818995,False,18,5
819242,False,21,15
819260,False,12,4
819272,False,12,4
819274,False,21,12
819281,False,358,196
819291,False,757,390
819375,False,13,4
819378,False,24,8
819394,False,11,3
819399,False,9,2
819401,False,16,10
819404,False,21,13
819407,False,21,13
819411,False,277,147
819508,False,169,94
819529,False,20,13
819543,False,22,13
819614,False,32,16
819623,False,34,2
819561,False,10,3
819003,False,24,6
819005,False,17,3
819744,False,250,124
819745,False,800,383
819746,,842,450
819023,False,345,170
820835,False,1070,553
820934,False,1256,645
819762,False,36,10
819771,False,13,4
819774,False,1406,709
819904,False,108,48
819913,False,10,3
819914,False,21,13
819919,False,1364,688
820070,False,1342,665
820193,False,163,80
820208,,834,415
820376,False,1325,666
820505,,834,414
820592,False,1304,648
820719,False,20,6
820724,False,1299,643
820983,False,9,2
820998,False,23,12
821007,False,14,4
821008,False,10,3
821010,False,21,4
821011,False,14,3
821012,False,11,3
821014,False,14,7
821017,False,15,5
821018,False,15,5
821027,False,11,3
821029,False,21,6
821031,False,11,3
821033,False,16,3
821035,False,19,12
821039,False,11,3
821041,False,19,13
821042,False,10,3
821044,False,11,3
821046,False,19,13
821053,False,11,3
821055,False,19,5
821111,False,422,206
821145,False,635,304
821190,False,422,210
821270,False,11,2
821271,False,11,2
821330,False,308,149
821357,False,472,191
821398,False,108,52
821403,False,142,66
821481,False,363,173
821507,False,11,5
821509,False,22,7
821579,False,258,127
821592,False,12,4
821598,False,18,9
821599,False,11,4
821602,False,12,5
821614,False,13,4
821615,False,13,4
821689,False,11,4
821690,False,11,3
821680,False,13,2
821647,False,272,135
821663,False,11,4
821664,False,267,134
821685,False,22,14
821668,False,11,4
821708,False,10,3
821709,False,15,5
821714,False,319,160
821687,False,23,16
821729,False,128,61
821688,False,11,3
821731,False,13,3
821740,False,25,13
821741,False,31,14
821744,False,13,6
821752,False,10,3
821756,False,846,431
821779,False,13,4
821780,False,10,3
821784,False,15,5
821786,False,11,3
821789,False,10,3
821790,False,1049,551
821825,False,1011,493
821851,,833,416
821873,,833,415
821894,False,12,4
821895,False,10,3
821896,False,10,3
821899,False,10,3
821907,False,10,2
821910,False,13,4
821915,False,322,158
821979,False,12,4
821983,False,10,3
822014,False,13,4
822034,False,14,3
822037,False,515,251
822074,False,20,9
822078,False,252,135
822086,False,839,429
822109,,772,414
822665,False,12,2
822672,False,10,3
822159,False,34,13
822163,False,52,12
822174,False,21,7
822190,False,18,2
822222,False,14,5
822223,False,10,3
822224,False,17,6
822256,False,518,255
822604,False,10,2
822664,False,9,2
822669,False,10,3
822605,False,11,2
822289,False,533,256
822303,False,17,2
822694,False,26,6
822311,False,518,255
822376,False,11,3
822386,False,517,255
822440,False,23,5
822702,False,14,5
822713,False,268,135
822748,False,13,2
822451,False,10,2
822452,False,17,3
822492,False,12,4
822499,False,10,2
822508,False,11,3
822518,False,15,5
822546,False,28,11
822554,False,26,12
822573,False,11,3
822588,False,568,290
822592,False,11,3
822593,False,12,5
822594,False,16,9
822795,False,11,4
822817,False,12,4
822834,False,672,324
822867,False,49,20
822886,False,11,3
822920,False,673,324
822923,False,13,4
822924,False,22,7
822926,False,11,3
822928,False,839,446
822931,False,13,4
822932,False,12,5
822934,False,17,10
822939,False,469,234
822940,False,579,309
822611,False,338,163
822990,False,13,5
822612,False,23,6
823048,False,480,239
822619,False,10,3
822621,False,12,4
822623,False,479,237
823036,False,266,133
822625,False,586,310
823054,False,670,322
822630,False,14,4
822636,False,12,3
822643,False,15,2
822646,False,10,2
822647,False,11,3
823077,False,11,3
823081,False,11,3
823083,False,13,4
823089,False,11,3
823096,False,13,4
823101,False,684,342
823176,False,471,232
823272,False,10,3
823305,False,26,13
823323,False,42,18
823341,False,664,320
